noid,codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,zona_postal,codigo_postal,limite_norte,limite_sur,limite_este,limite_oeste,tipo,barrios_contenidos_en_el_codigo_postal,veredas_contenidas_en_el_codigo_postal
1807,25,CUNDINAMARCA,25258,EL PEÑON,2540,254027,MUNICIPIO TOPAIPÍ,MPIO. NIMAIMA Y VERGARA,MUNICIPIO PACHO,MPIO. LA PALMA Y LA PEÑA,Rural,Sin Informacion de Barrios,APOSENTOS- BUNQUE-  BUNQUE-  CHAPA ALTA-  CHAPA COCLI-  CHAPILLA-  CURICHE-  EL RODEO-  GUAMAL-  Guatama-  HONDURAS-  INSULA-  JAGUAL MATECAÑA-  PEÑONCITO-  PISCO CHIQUITO-  PISCO GRANDE-  QUITASON-  RAUCHAL-  SABANETA-  SAN ISIDRO-  TAUCHA-  TENDIDOS-  T
1351,20,CESAR,20750,SAN DIEGO,2020,202030,KR 1,KR 20,CL 8,CL 2,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
986,15,BOYACA,15572,PUERTO BOYACA,1552,155208,MUNICIPIO BOLIVAR,MUNICIPIO BOLIVAR,MUNICIPIO BOLIVAR,Q. DOS QUEBRADAS,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2831,68,SANTANDER,68264,ENCINO,6825,682541,CL 7,LIMITE URBANO,LIMITE URBANO,KR 5,Urbano,Sin Informacion de Barrios,Cabecera Municipal- Centro
1760,25,CUNDINAMARCA,25718,SASAIMA,2534,253408,VIA LA VEGA-SASAIMA-STA. INES,MUNICIPIO FACATATIVA,MUNICIPIO LA VEGA,MUNICIPI ALBÁN,Rural,Sin Informacion de Barrios,ACUARA- BUENOS AIRES-  BULUCAIMA-  CENTRO-  El Balsal-  El Cajón-  EL ENTABLE-  EL ENTABLE-  EL MOJON-  GUAYACUNDO-  GUAYACUNDO ALTO-  GUAYACUNDO BAJO-  ILO-  Ilo Grande-  La Concepción-  LA GRANJA-  LA HUERTA-  LA PAZ-  LAS MARIAS-  LAS MERCEDES-  LIMONA
336,5,ANTIOQUIA,05113,BURITICA,570,57037,MUNICIPIO PEQUE,QUEBRADA LA CLARA,M. PEQUE Y SABANALARGA,MUNICIPIO CAÑASGORDAS,Rural,Sin Informacion de Barrios,El Agrio- El León-  El Retiro-  El Siento-  Guadal-  La Candelaria-  La Cordillera-  La Loma El Sauce-  La Manga-  La Vega-  Las Brisas-  Las Cuatro-  Llano Chiquito-  Llanos de Urarco-  Madera-  Palenque-  San José de Juntas-  San Luis de Juntas-  Santa
3591,94,GUAINIA,94884,PUERTO COLOMBIA,9410,941039,MPIO. INÍRIDA Y CAÑO ARZAMASA,MPIO. PANA PANA Y RÍO GUAINÍA,RÍO GUAINÍA,MUNICIPIO INÍRIDA,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2331,52,NARIÑO,52083,BELEN,5210,521087,MUNICIPIO COLÓN,MUNICIPIO SAN BERNARDO,MUNICIPIO LA CRUZ,MPIO. LA UNIÓN Y COLÓN,Rural,Sin Informacion de Barrios,Campo de María Alto- Palma Chiquita-  Palma Grande-  San Antonio
1638,25,CUNDINAMARCA,25438,MEDINA,2514,251428,RÍO GAZAMUNO,MUNICIPIO CUMARAL,MPIO. PARATEBUENO,M. RESTREPO Y SAN JUANITO,Rural,Sin Informacion de Barrios,ARENALES CENTRO- BELLAVISTA-  CHORRENANO-  EL RETIRO (LA BODEGA)-  EL TABLON-  EL VAINILLO (SAN ANTONIO DE LOS M.)-  GAZATAVENA CENTRO-  GUAJARAY CENTRO-  HUMEA-  JAPON-  LA ARGENTINA-  LA ESMERALDA-  LA ESPERANZA-  LA SERRANA-  LA ZARZA-  LOS ALPES CENTR
819,15,BOYACA,15047,AQUITANIA,1524,152428,MUNICIPIO CUITIVA,QUEBRADA SISVACA,VÍA AQUITANIA - CHAMEZA,MUNICIPIO TOTA,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
1733,25,CUNDINAMARCA,25123,CACHIPAY,2530,253027,MUNICIPIO ANOLAIMA,MUNICIPIO LA MESA,MUNICIPIO ZIPACÓN,MUNICIPIO QUIPILE,Rural,Sin Informacion de Barrios,ALTO DEL FRISOL- BAIVEN-  CALNDAIMA BAJA-  CAMPO SANTO-  CATALINA ALTA-  CATALINA BAJA-  EL ESPINAL-  EL LIMONAL-  EL OCASO-  LA CANDELARIA-  LA JOYA-  LA LAGUNA-  LA UCHUTA-  LA VEGA-  MARGARITA-  NARANJAL-  PALOQUEMAO-  PEÑA NEGRA-  RECEBERA-  SAN ANTON
1398,23,CORDOBA,23001,MONTERIA,2300,230007,MPIO. PTO. ESCONDIDO Y SAN PELAYO,VÍA MONTERIA-PUERTO REY,VÍA SANTA LUCIA-BUENOS AIRES,MPIO. PTO. ESCONDIDO Y LAS CORDOBAS,Rural,Sin Informacion de Barrios,Aguas Vivas- Cucharal-  El Tigre-  La Lucha-  Morindó Central-  Morindó Santa Fe-  Morindó Santo Domingo
